parameter	burnin	psrf	ess_concat	ess_0	ess_1	ess_2	ess_3	ess_4
ln_likelihood_CamiguinNorte2	800	1.0040634824296735	738.7625482228638	196.1286806950238	234.4520034796969	174.99760351297545	194.44281368594847	116.32331012823151
root_height_CamiguinNorte2	800	1.0028002529077011	680.4183603917594	320.9816150497155	198.50826699720037	114.04472931759226	286.2674294804807	95.43260410435857
pop_size_CamiguinNorte2	800	1.000708000276231	938.995861734186	121.54198924514219	147.39897962502894	217.33866232487765	114.04761181695294	147.13877229053818
pop_size_Dalupiri2	800	1.0020214532659	432.22885680220196	98.5247540451329	126.23518226009594	94.58046513087201	118.63528735810524	62.90341323409269
pop_size_root_CamiguinNorte2	800	1.0008077431984703	1325.2616553715486	401.0	240.59742043804772	358.47581126240266	142.3537508726237	234.05955231896795
ln_likelihood	900	0.9987274863872113	731.1560798214722	150.6889439517721	221.27831981700206	132.74739094915546	115.59207787268672	153.0485874396032
ln_likelihood_BabuyanClaro0	900	1.0047131787617452	605.4689768565497	138.9545376683381	240.5950019177029	137.89375791167586	103.97547167769201	301.0
root_height_BabuyanClaro0	900	1.0043599826845107	1218.139168480432	222.4093017050643	301.0	301.0	301.0	301.0
pop_size_BabuyanClaro0	900	1.0022095680831138	562.6350442849866	184.07178294942887	109.19192654982842	133.91132680174485	107.542507489183	146.7528513878728
pop_size_Calayan0	900	1.002713841179673	689.7352957650389	135.8553176192775	178.29067520014584	123.00764198675711	109.1793299703667	218.11860480051834
pop_size_root_BabuyanClaro0	900	1.0032966558101337	663.5709256822083	148.07762321598094	207.3045343251167	109.61927297706752	163.9732763933931	161.28054438799919
ln_likelihood_MaestreDeCampo1	900	0.9987068063170509	1154.637294834985	245.2775856917384	203.73619265783103	301.0	285.8174767388674	161.2053723429466
root_height_MaestreDeCampo1	900	0.999388909758368	1366.9067199444346	301.0	301.0	123.17516534974652	200.9259657992063	220.9666877457352
pop_size_MaestreDeCampo1	900	0.9998540615208827	880.0523819568798	301.0	108.94755017982436	145.22819713550652	197.0331376429763	144.2945759878258
pop_size_Masbate1	900	1.0015659563210872	1113.5391539169166	199.7465897437552	216.64065618800478	271.53940983269405	274.090664787175	184.89162865282668
pop_size_root_MaestreDeCampo1	900	1.0002939128562387	1077.96312109819	301.0	201.00950537162245	137.88289574813624	172.8529614131893	277.05776394225614
ln_likelihood_CamiguinNorte2	900	1.0040168314561082	448.9966962198397	89.74417678997813	209.50358136733433	102.30682500436514	147.0556660366826	74.16184663735329
root_height_CamiguinNorte2	900	1.0053779094607318	461.65453676853275	100.00230861165427	301.0	73.1434987794872	157.42498906916933	85.71682128834843
pop_size_CamiguinNorte2	900	1.0016830359046132	466.72652352899144	91.55621225498679	187.8144586709167	205.59816572259624	105.5408934702918	159.05198192294836
pop_size_Dalupiri2	900	1.0083600291186954	277.7767704022041	46.8853022911666	205.86496097152283	70.87083927301933	69.44420967313835	59.48601359389432
pop_size_root_CamiguinNorte2	900	1.0020616317967586	810.3485138800045	231.26442627877017	198.12681072136067	301.0	221.95916431172046	291.4395364235549
ln_likelihood	1000	1.003384577812225	540.3794400130837	128.55031246747703	142.93369355268314	163.0714137915726	93.9583605308654	87.64864759005029
ln_likelihood_BabuyanClaro0	1000	1.0090451637031808	416.58962422617066	85.54839849470054	117.47576621537128	120.38988798305388	89.93680336305958	165.518117143364
root_height_BabuyanClaro0	1000	1.004490771347789	1005.0	201.0	201.0	201.0	201.0	201.0
pop_size_BabuyanClaro0	1000	1.0004931555075502	427.41018181302627	70.87123678397471	112.09661755099474	129.96923789443323	71.12955713033139	77.14822665066582
pop_size_Calayan0	1000	1.0137387464217507	386.97080238638995	147.5256538141357	73.76017019936563	119.02476598926032	90.23390312896234	146.0101227610244
pop_size_root_BabuyanClaro0	1000	1.0140821214905908	437.92523345749345	145.6550175657962	171.4286060536645	67.72616213219077	152.80485340533625	114.66593992921099
ln_likelihood_MaestreDeCampo1	1000	1.0013199965763018	624.3647573708726	136.87758724104754	199.4671885674355	138.97514184211022	201.0	106.17965745954287
root_height_MaestreDeCampo1	1000	0.9994902815442226	967.4209427500134	201.0	201.0	111.169870940294	201.0	177.81371154702887
pop_size_MaestreDeCampo1	1000	1.000516320590554	817.5598524880628	134.08407232115314	106.21436185931697	137.68553961714855	126.99922761103622	177.00736472559683
pop_size_Masbate1	1000	1.0043639497792636	673.6069095583548	134.9340422409805	193.29030609641282	91.52762363755997	176.17516381848384	201.0
pop_size_root_MaestreDeCampo1	1000	1.0014045842300898	974.6185304416368	177.73402559870382	181.5511685007529	123.63410627956803	201.0	113.64573845517079
ln_likelihood_CamiguinNorte2	1000	1.0071689592442745	300.787416851869	115.72447144163951	119.632435962339	75.86258961706123	102.62651496122557	63.30790139612862
root_height_CamiguinNorte2	1000	1.0118471285864505	298.370203127976	188.4076144297898	166.13562877509847	53.52811018922274	201.0	53.53875695341134
pop_size_CamiguinNorte2	1000	1.0027160443469774	524.8297544822191	57.63097348729159	60.22119715180421	94.6000911011517	62.70673059263281	85.85604265123106
pop_size_Dalupiri2	1000	1.0196868386755473	217.196779559833	63.43411690066455	105.40534865707984	45.07587766061584	115.34252283311761	36.97775726936544
